0,0,3,47
0,1,8,52
0,2,1,45
0,3,15,59
0,4,21,65
0,5,44,88
0,6,55,93
0,7,58,100
0,8,44,80
0,9,1,31
0,10,43,87
0,11,40,77
0,12,54,95
0,13,38,75
0,14,7,51
0,15,11,55
0,16,17,61
0,17,1,18
0,18,1,28
0,19,1,33
0,20,1,33
0,21,16,60
0,22,16,60
0,23,69,99
0,24,38,79
0,25,57,93
0,26,64,104
0,27,39,75
0,28,47,82
0,29,47,80
1,0,1,45
1,1,1,45
1,2,11,55
1,3,11,55
1,4,15,59
1,5,5,49
1,6,10,54
1,7,8,52
1,8,13,57
1,9,13,57
1,10,10,54
1,11,14,58
1,12,1,45
1,13,16,60
1,14,1,38
1,15,1,45
1,16,1,45
1,17,1,45
1,18,23,67
1,19,1,37
1,20,4,48
1,21,1,35
1,22,1,42
1,23,1,42
1,24,7,51
2,0,20,64
2,1,14,58
2,2,20,64
2,3,26,70
2,4,31,75
2,5,13,57
2,6,15,59
2,7,22,66
2,8,15,59
2,9,18,62
2,10,1,38
2,11,1,38
2,12,1,45
2,13,1,39
2,14,1,35
2,15,10,54
2,16,5,49
2,17,1,45
2,18,12,56
2,19,1,40
3,0,1,41
3,1,15,59
3,2,13,57
3,3,14,58
3,4,1,27
3,5,15,59
3,6,15,59
3,7,20,64
3,8,1,45
3,9,1,32
3,10,1,45
3,11,3,47
3,12,18,62
3,13,18,62
3,14,10,54
3,15,1,42
3,16,1,25
3,17,1,41
4,0,50,94
4,1,1,45
4,2,45,89
4,3,3,47
4,4,26,70
4,5,26,70
4,6,16,60
4,7,21,65
4,8,20,64
4,9,1,32
4,10,6,50
4,11,1,20
4,12,12,52
4,13,16,43
4,14,1,45
4,15,1,35
4,16,2,46
4,17,6,50
4,18,8,52
5,0,10,54
5,1,8,52
5,2,1,39
5,3,10,54
5,4,1,39
5,5,1,37
5,6,8,52
5,7,20,64
5,8,20,64
5,9,8,52
5,10,6,50
5,11,1,43
5,12,20,55
5,13,9,53
5,14,9,53
5,15,12,53
5,16,10,54
5,17,10,54
5,18,8,52
6,0,7,51
6,1,5,49
6,2,12,56
6,3,34,78
6,4,32,76
6,5,44,88
6,6,24,68
6,7,11,55
6,8,1,31
6,9,14,44
6,10,12,56
6,11,36,80
6,12,43,87
6,13,4,48
6,14,50,79
6,15,10,43
6,16,19,54
6,17,32,70
7,0,10,54
7,1,1,45
7,2,1,44
7,3,17,61
7,4,10,54
7,5,12,56
7,6,15,50
7,7,1,32
7,8,1,35
7,9,5,49
7,10,8,50
7,11,50,94
7,12,1,45
7,13,13,43
7,14,46,85
7,15,1,41
7,16,1,39
7,17,10,47
8,0,1,45
8,1,15,59
8,2,60,104
8,3,13,57
8,4,6,50
8,5,19,63
8,6,1,28
8,7,16,60
8,8,25,55
8,9,1,39
8,10,1,39
8,11,14,44
8,12,1,25
8,13,10,50
8,14,1,45
8,15,16,60
8,16,9,53
9,0,26,70
9,1,1,39
9,2,12,50
9,3,12,50
9,4,9,53
9,5,16,56
9,6,50,94
9,7,1,34
9,8,1,29
9,9,30,74
9,10,1,45
9,11,1,34
9,12,14,54
9,13,26,70
9,14,8,52
9,15,10,54
